,B01003_001E,NAME,state
0,3468963.0,Puerto Rico,72
1,4850771.0,Alabama,01
2,738565.0,Alaska,02
3,6809946.0,Arizona,04
4,2977944.0,Arkansas,05
5,38982847.0,California,06
6,5436519.0,Colorado,08
7,3594478.0,Connecticut,09
8,672391.0,District of Columbia,11
9,943732.0,Delaware,10
10,20278447.0,Florida,12
11,10201635.0,Georgia,13
12,1421658.0,Hawaii,15
13,1657375.0,Idaho,16
14,12854526.0,Illinois,17
15,6614418.0,Indiana,18
16,3118102.0,Iowa,19
17,2903820.0,Kansas,20
18,4424376.0,Kentucky,21
19,1330158.0,Maine,23
20,4663461.0,Louisiana,22
21,6789319.0,Massachusetts,25
22,5996079.0,Maryland,24
23,9925568.0,Michigan,26
24,5490726.0,Minnesota,27
25,2986220.0,Mississippi,28
26,6075300.0,Missouri,29
27,1029862.0,Montana,30
28,1893921.0,Nebraska,31
29,1331848.0,New Hampshire,33
30,2887725.0,Nevada,32
31,8960161.0,New Jersey,34
32,2084828.0,New Mexico,35
33,19798228.0,New York,36
34,10052564.0,North Carolina,37
35,745475.0,North Dakota,38
36,11609756.0,Ohio,39
37,3896251.0,Oklahoma,40
38,4025127.0,Oregon,41
39,12790505.0,Pennsylvania,42
40,1056138.0,Rhode Island,44
41,4893444.0,South Carolina,45
42,855444.0,South Dakota,46
43,6597381.0,Tennessee,47
44,27419612.0,Texas,48
45,2993941.0,Utah,49
46,624636.0,Vermont,50
47,8365952.0,Virginia,51
48,1836843.0,West Virginia,54
49,7169967.0,Washington,53
50,583200.0,Wyoming,56
51,5763217.0,Wisconsin,55
