State,Gang involvement,Drug involvement,Domestic Violence,Armed robbery,Officer Involved Incident,Home Invasion,Car-jacking,Negligent Discharge,suicide,Child Involved,Pistol-whipping,Defensive Use,Accidental Shooting,No Injuries,Murder,Road rage,Animal shot,Drive-by,Police Targeted,School Incident,Hate crime,Terrorism Involvement,Assault weapon,Mass Shooting
Pennsylvania,33,628,444,625,576,872,92,250,2171,83,159,236,692,1097,145,91,38,319,42,64,2,4,68,65
California,1372,1026,435,785,1969,966,302,367,5010,100,144,397,856,1914,227,138,33,1274,47,125,15,3,263,194
Ohio,133,747,616,1141,974,964,212,328,2303,161,167,339,820,1287,124,53,53,524,38,132,2,2,88,62
Colorado,63,245,126,159,380,268,89,140,719,27,36,92,332,624,54,52,9,204,10,41,1,0,31,14
North Carolina,68,384,422,894,398,1116,134,159,2050,81,141,267,464,1394,103,51,33,386,6,151,5,0,60,43
Oklahoma,55,265,187,338,358,600,117,95,848,25,98,203,254,552,47,36,10,233,12,35,1,0,37,15
New Mexico,13,109,99,93,273,162,46,31,427,12,24,89,74,301,30,36,8,85,13,25,0,0,15,11
Louisiana,20,463,276,837,395,566,450,167,1983,72,136,209,448,876,70,47,12,349,16,90,4,0,78,63
Maryland,18,603,101,371,220,210,74,53,1551,27,24,55,158,234,59,18,7,74,13,45,2,0,20,37
Tennessee,141,413,483,655,460,802,250,210,1711,86,108,286,626,1016,83,104,23,485,8,147,1,1,47,62
Missouri,11,442,273,439,483,610,255,170,1950,93,105,238,394,889,86,58,14,581,24,84,2,0,53,52
District of Columbia,1,12,8,452,74,16,160,6,432,12,13,8,18,292,3,3,2,48,5,9,1,0,17,26
Illinois,1679,656,445,1041,1065,826,270,246,3238,106,128,216,620,1798,85,47,22,2383,15,85,5,1,86,151
Delaware,9,222,17,196,52,166,20,10,207,7,16,26,38,203,6,8,4,28,4,13,0,0,17,7
Utah,81,99,83,62,146,120,29,71,244,17,17,60,178,194,24,19,7,94,2,16,0,1,7,5
Michigan,58,343,383,622,484,586,148,223,1448,77,80,219,556,1208,75,75,28,298,18,67,3,4,45,59
Georgia,111,572,464,997,584,1156,260,293,2237,115,208,355,724,1272,121,73,24,455,11,142,3,0,38,69
Indiana,94,578,416,624,726,644,117,217,1467,99,90,221,550,727,76,50,26,183,13,84,1,1,67,41
